Ind;Cuenca;Nombre Estación;Provincia;x (Uso 30);y (Uso 30);Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
2374E;Duero;VILLOLDO;PALENCIA;368290;4678234;41.3;31.7;28.7;50.9;56.6;39.0;22.5;18.5;36.8;58.5;54.8;55.4
2375;Duero;CERVATOS DE LA CUEZA;PALENCIA;354183;4683450;45.5;33.6;30.5;52.1;55.6;38.2;21.8;21.5;41.1;62.9;56.5;63.5
2382;Duero;REVENGA DE CAMPOS;PALENCIA;377762;4682383;42.9;29.5;26.1;52.6;58.9;36.5;18.3;17.2;39.3;61.0;53.2;53.3
2383;Duero;FROMISTA;PALENCIA;384147;4680577;36.1;24.9;21.8;44.6;46.9;28.6;14.8;22.4;31.8;55.0;47.1;50.1
2386;Duero;MONZON DE CAMPOS;PALENCIA;376522;4663892;36.4;28.4;22.5;46.6;53.2;32.3;15.5;22.8;36.8;53.9;47.9;55.2
2389;Duero;VILLALCON;PALENCIA;346979;4684066;38.2;27.5;25.8;42.0;51.7;32.2;16.4;19.1;35.8;55.2;50.5;54.8
2392;Duero;VILLANUEVA DEL REBOLLAR;PALENCIA;356137;4678164;39.7;28.7;28.3;50.2;52.6;40.6;21.1;22.7;39.1;60.9;54.0;59.5
2398;Duero;BECERRIL DE CAMPOS (LAS CHAR- CAS);PALENCIA;371181;4667073;33.4;26.5;19.9;42.0;46.9;32.8;14.8;20.0;32.0;51.9;45.1;48.9
2401B;Duero;PALENCIA (ESCL CAP AGRARIA);PALENCIA;371021;4651958;31.5;24.7;22.9;45.6;49.8;34.8;15.0;20.6;35.4;51.2;46.3;50.3
2402;Duero;VILLAMURIEL DE CERRATO;PALENCIA;374357;4645419;36.7;26.6;22.8;43.4;50.0;34.4;13.6;19.8;32.7;53.8;47.0;53.0
2403;Duero;VENTA DE BAÑOS (AZUCARERA);PALENCIA;376024;4641995;33.7;24.5;20.9;41.6;50.2;31.1;15.4;18.1;29.7;50.2;45.0;51.3
2404;Duero;CEVICO NAVERO;PALENCIA;401620;4635117;43.6;31.0;26.0;51.4;58.5;36.3;19.6;20.6;31.6;56.6;54.8;58.9
2404E;Duero;CASTILLO DE ONIELO;PALENCIA;390433;4634972;35.6;25.4;20.8;44.2;51.8;34.9;15.2;18.3;28.9;49.0;47.9;48.9
2406A;Duero;DUEÑAS (CANAL DE CASTILLA);PALENCIA;371677;4637290;38.0;26.9;21.2;46.8;56.0;33.2;14.7;17.1;33.5;55.0;46.5;54.7
2409B;Duero;VALLADOLID (ZAMADUEÑAS);VALLADOLID;359338;4619627;36.0;23.6;19.3;43.7;47.2;30.8;11.8;16.5;30.6;50.8;48.8;50.6
2411;Duero;PINILLOS DE ESGUEVA;BURGOS;430858;4630301;44.4;34.6;31.0;57.3;65.5;35.6;17.7;19.5;31.2;63.6;48.2;52.6
2416;Duero;AMUSQUILLO DE ESGUEVA;VALLADOLID;391747;4622766;41.0;30.3;24.3;50.9;52.0;33.7;16.2;18.8;28.3;54.3;55.1;56.9
2419;Duero;CASTRONUEVO DE ESGUEVA;VALLADOLID;367705;4615766;41.3;29.5;24.4;51.0;59.0;35.1;13.0;20.0;31.7;60.1;51.8;55.2
2422;Duero;VALLADOLID;VALLADOLID;353884;4611387;39.8;27.1;21.9;46.2;49.3;29.2;12.6;15.8;30.7;54.6;52.1;53.4
2426;Duero;SIMANCAS;VALLADOLID;347720;4605980;41.9;28.3;22.6;43.4;51.7;28.8;11.6;13.5;27.5;56.3;55.6;55.9
2427;Duero;GERIA;VALLADOLID;343525;4604836;40.0;30.7;22.7;45.4;53.7;27.8;11.3;14.7;31.6;55.9;53.1;54.8
2432;Duero;MUÑOGALINDO;AVILA;339193;4496477;33.9;26.8;21.9;38.6;47.9;31.9;13.4;15.0;26.1;42.9;41.7;42.6
2438;Duero;CABAÑAS DE RIOFRIO;AVILA;350503;4491768;40.3;34.5;27.7;53.5;55.0;29.0;11.8;20.0;30.6;59.4;66.3;61.4
2440;Duero;ALDEA DEL REY NIÑO (DEHESA GU-TERREÑO);AVILA;356059;4493201;48.8;36.9;34.1;52.1;63.4;29.7;14.6;20.5;32.1;65.4;68.7;66.7
2441;Duero;ALDEA DEL REY NIÑO;AVILA;352195;4494048;45.0;35.4;32.4;51.5;62.0;30.7;14.3;20.0;33.0;62.2;64.5;62.7
2444;Duero;ÁVILA;AVILA;357981;4502280;31.8;24.2;22.5;40.5;53.6;32.7;12.2;18.6;29.9;50.7;48.3;43.2
2446;Duero;MINGORRIA;AVILA;359249;4512575;34.7;30.5;24.9;42.9;55.7;43.7;18.2;16.9;27.2;52.0;50.5;44.1
2449;Duero;NARRILLOS DEL REBOLLAR;AVILA;333821;4503383;54.5;46.4;35.9;67.6;80.5;35.1;21.0;22.9;35.8;67.8;66.2;64.7
2459;Duero;RAPARIEGOS;SEGOVIA;361139;4550484;31.4;28.4;21.5;36.9;50.4;31.0;15.3;16.3;26.5;51.4;43.2;38.5
2460;Duero;SAN CRISTOBAL DE LA VEGA;SEGOVIA;361996;4552627;34.4;29.4;21.0;37.2;50.4;33.4;15.2;17.2;27.3;52.7;44.2;38.9
2461;Duero;MATAPOZUELOS;VALLADOLID;350185;4586335;39.9;30.9;22.7;47.7;52.0;27.6;14.9;14.7;28.5;55.7;48.3;52.5
2462;Duero;NAVACERRADA,PUERTO;MADRID;414745;4516276;123.8;95.9;83.8;127.1;124.5;63.5;23.2;26.0;60.2;155.7;176.4;163.1
2465;Duero;SEGOVIA;SEGOVIA;405190;4533294;38.0;33.8;29.7;48.0;62.1;39.4;15.9;19.6;26.4;54.2;49.8;47.1
2467;Duero;OTERO DE HERREROS;SEGOVIA;398048;4519496;42.2;35.9;29.8;50.5;68.4;36.0;14.2;19.3;27.2;56.0;53.9;53.6
2469;Duero;ORTIGOSA DEL MONTE;SEGOVIA;400894;4522079;54.3;46.7;38.4;62.4;80.5;44.1;18.4;22.4;34.6;73.7;70.3;69.1
2471;Duero;SAN RAFAEL;SEGOVIA;399873;4507134;69.2;56.7;44.3;66.9;87.7;41.6;13.7;19.9;35.4;84.5;90.1;88.0
2473;Duero;EL ESPINAR;SEGOVIA;394489;4508134;62.8;52.1;41.9;74.9;83.4;43.1;15.2;17.6;33.7;84.6;87.6;80.3
2474;Duero;NAVAS DE SAN ANTONIO;SEGOVIA;387757;4513013;41.3;37.3;28.2;52.5;64.1;35.6;14.7;16.5;28.2;61.1;55.0;55.9
2477;Duero;LASTRAS DEL POZO;SEGOVIA;386551;4526141;38.6;36.5;24.4;48.5;62.0;33.8;14.2;18.9;28.4;52.1;47.5;44.8
2479;Duero;VILLACASTIN;SEGOVIA;380757;4515282;38.9;33.7;26.0;50.5;56.3;33.7;13.9;17.9;24.6;54.8;50.8;49.7
2483;Duero;NAVAS DE ORO;SEGOVIA;379409;4561573;36.9;30.0;23.3;43.9;55.2;30.0;15.4;18.0;25.9;55.2;43.5;42.7
2495;Duero;JEMENUÑO;SEGOVIA;374163;4534207;33.7;32.8;21.2;40.9;53.9;30.0;12.7;11.2;21.9;47.4;44.1;39.7
2497;Duero;MARTIN MUÑOZ DE LAS POSADAS;SEGOVIA;365721;4539447;41.4;30.4;24.3;44.3;63.4;35.2;16.5;14.0;30.2;50.9;45.6;44.2
2501;Duero;NAVA DE LA ASUNCION;SEGOVIA;375142;4557326;33.2;25.3;21.9;42.3;53.8;30.2;13.3;16.0;24.6;50.3;40.9;38.4
2502;Duero;SANTIUSTE DE SAN JUAN BAUTISTA;SEGOVIA;368150;4557450;37.8;32.8;24.1;44.8;54.2;30.5;17.9;13.1;25.0;52.6;44.7;46.3
2502I;Duero;PEDRAJAS DE SAN ESTEBAN;VALLADOLID;367594;4578129;30.8;26.2;17.8;36.9;46.3;23.1;15.5;11.5;21.9;45.4;37.6;38.9
2503E;Duero;OLMEDO AZUCARERA;VALLADOLID;358729;4576600;35.8;27.8;21.6;41.5;50.1;26.9;13.0;15.8;26.5;48.9;44.0;43.1
2505;Duero;VALDESTILLAS;VALLADOLID;352092;4593238;35.5;29.0;19.2;45.3;46.9;23.2;15.4;18.1;27.2;49.2;45.9;50.9
2506;Duero;VELLIZA;VALLADOLID;337617;4604812;42.1;31.9;24.7;49.9;57.3;26.1;11.2;15.6;31.7;57.4;55.2;57.2
2507;Duero;LA SECA;VALLADOLID;340573;4586541;35.9;27.3;21.3;41.9;47.9;27.5;15.6;15.2;29.4;50.9;47.4;48.0
2507E;Duero;RUEDA;VALLADOLID;336278;4586637;33.0;26.2;20.2;40.0;50.7;25.4;15.1;13.6;25.9;48.9;45.1;47.5
2508E;Duero;VILLANUEVA DE DUERO;VALLADOLID;341367;4596243;31.9;25.5;18.7;38.6;44.3;24.9;14.1;12.7;26.0;48.3;44.6;46.5
2509;Duero;VILLAVIEJA DEL CERRO;VALLADOLID;329970;4599897;37.2;27.7;21.8;43.6;57.6;27.5;13.8;16.0;32.9;54.5;53.0;54.6
2512;Duero;RIVILLA DE BARAJAS (CASTRONUEVO);AVILA;330158;4527995;39.4;32.8;28.9;48.4;59.9;34.8;15.3;16.1;28.0;53.3;49.7;57.4
2514E;Duero;PALACIOS DE GODA;AVILA;349997;4553480;35.7;28.1;22.2;38.3;56.4;26.6;15.2;13.0;25.4;52.9;44.2;44.6
2515E;Duero;LOMOVIEJO;VALLADOLID;339110;4557106;34.6;27.6;20.8;39.2;52.8;28.4;14.4;12.2;25.7;46.7;45.1;43.5
2517;Duero;FUENTE EL SOL;VALLADOLID;337780;4560221;33.7;27.9;21.2;38.9;50.1;28.3;13.7;13.2;29.8;46.9;45.9;44.3
2518;Duero;LA ZARZA;VALLADOLID;351603;4569337;35.3;28.8;20.5;42.0;51.1;30.9;14.8;14.3;27.8;46.8;45.5;42.3
2519;Duero;SAN VICENTE DEL PALACIO;VALLADOLID;344752;4564697;35.4;27.7;20.9;43.1;50.6;28.8;13.5;11.4;24.9;45.7;44.9;45.3
2522;Duero;TORRECILLA DE LA ABADESA;VALLADOLID;325675;4594908;34.0;25.7;21.1;39.9;52.2;24.8;13.1;15.2;30.0;51.4;44.9;49.2
2524;Duero;NARROS DEL CASTILLO;AVILA;326340;4524999;37.7;31.8;25.1;42.3;55.7;31.4;13.2;12.9;29.7;53.4;45.9;45.3
2528;Duero;CANTALAPIEDRA;SALAMANCA;316431;4555018;35.8;28.0;27.7;50.0;55.7;26.6;9.6;11.4;29.7;49.0;47.0;46.9
2529;Duero;FRESNO EL VIEJO;VALLADOLID;320123;4562795;29.6;24.2;17.9;36.9;45.6;24.1;6.8;10.2;24.9;42.0;42.7;43.5
2530;Duero;ALAEJOS;VALLADOLID;314502;4575434;30.1;23.7;18.3;37.5;46.3;23.4;11.6;9.9;27.9;45.9;40.4;41.3
2531E;Duero;CASTRONUÑO (PRESA SAN JOSE);VALLADOLID;309897;4586202;32.8;25.7;20.1;41.4;53.6;24.1;16.0;11.9;28.6;49.8;44.4;48.8
2532;Duero;CASTROMONTE;VALLADOLID;330604;4626730;38.1;26.1;23.7;45.1;51.7;28.2;16.3;18.1;30.1;55.3;53.7;57.1
2533;Duero;CASTROMONTE (LA SANTA ESPINA);VALLADOLID;325412;4622226;37.5;26.9;25.4;46.7;52.9;27.4;15.7;17.2;31.2;56.5;54.5;56.1
2539;Duero;VALLADOLID/VILLANUBLA;VALLADOLID;345633;4619459;36.5;26.2;23.2;43.4;52.6;29.6;14.7;21.0;31.6;52.4;50.6;53.2
2557;Duero;LA BOVEDA DE TORO;ZAMORA;298330;4579724;30.3;24.4;18.8;38.5;47.1;22.8;14.6;15.1;30.4;46.2;39.5;44.9
2561;Duero;ARGUJILLO;ZAMORA;283348;4576606;36.3;30.8;23.1;41.9;48.9;26.5;15.4;11.9;30.6;47.9;46.7;52.5
2562;Duero;PELEAGONZALO;ZAMORA;292608;4595165;31.6;24.3;19.5;37.3;46.2;22.8;15.2;15.9;27.6;49.3;45.3;46.2
2567;Duero;RENEDO DE VALDERADUEY;LEON;340286;4716930;59.3;45.9;39.1;59.4;67.9;45.1;23.7;27.7;45.6;76.9;70.6;79.3
2568;Duero;VILLADIEGO DE CEA;LEON;342259;4708398;57.7;43.5;36.7;60.3;66.2;42.2;25.4;26.4;43.9;75.4;71.1;74.6
2571;Duero;VILLACARRALON;VALLADOLID;331243;4672853;41.2;28.9;26.6;43.5;53.2;35.1;20.8;16.9;37.3;60.4;53.9;55.7
2572;Duero;CABEZON DE VALDERADUEY;VALLADOLID;321665;4670774;38.7;28.8;25.4;43.2;55.7;34.3;16.8;16.8;31.3;56.2;50.1;53.9
2573;Duero;CASTROPONCE;VALLADOLID;319596;4666198;37.1;26.2;25.5;43.0;52.1;29.4;16.5;16.5;32.3;54.9;49.0;52.7
2577;Duero;VALDUNQUILLO;VALLADOLID;308449;4653373;34.5;22.9;21.9;42.7;51.6;25.7;15.4;13.6;28.1;49.7;49.3;52.3
2581;Duero;VILLAMAYOR DE CAMPOS;ZAMORA;304202;4641296;36.5;25.0;23.3;44.7;47.7;27.8;14.7;17.7;29.4;49.0;46.7;55.9
2582;Duero;BUSTILLO DE CHAVES;VALLADOLID;327189;4666625;33.9;25.1;24.1;43.0;49.6;33.2;17.8;15.8;33.1;54.3;47.3;51.5
2583;Duero;VILLACID DE CAMPOS;VALLADOLID;324184;4661298;38.6;26.7;23.8;45.4;49.6;30.5;13.9;16.5;32.4;58.5;52.2;55.0
2584;Duero;AGUILAR DE CAMPOS;VALLADOLID;319190;4650312;39.3;26.8;25.5;48.1;54.2;29.7;17.7;17.6;31.4;58.4;54.5;59.0
2585;Duero;VILLAFRECHOS;VALLADOLID;315939;4640365;35.2;24.9;23.8;41.6;49.7;27.1;15.9;17.6;27.9;51.4;46.8;53.5
2586;Duero;VEGA DE VILLALOBOS;ZAMORA;295787;4649404;35.3;23.8;23.0;42.4;45.9;27.3;12.8;15.0;27.1;51.6;46.8;52.7
2587;Duero;VILLALPANDO;ZAMORA;299720;4637716;35.7;24.8;24.5;42.4;46.9;26.6;17.3;17.0;28.0;50.5;46.0;55.7
2588;Duero;TAPIOLES;ZAMORA;292771;4636834;35.6;24.7;24.1;44.0;48.7;24.0;14.7;17.5;26.2;52.9;46.1;54.1
2589;Duero;CAÑIZO;ZAMORA;291916;4627289;36.8;24.7;24.4;41.6;51.8;21.5;16.3;17.8;30.7;53.6;50.2;59.0
2593A;Duero;VILLALON DE CAMPOS (H.L.);VALLADOLID;331696;4662967;39.2;26.4;23.9;46.2;47.9;30.7;20.5;24.9;34.8;55.6;50.9;53.6
2595;Duero;CUENCA DE CAMPOS;VALLADOLID;329977;4658378;34.4;26.4;22.8;42.3;47.1;31.9;16.1;18.4;30.4;53.4;47.9;47.9
2598A;Duero;BERRUECES DE CAMPOS (CARRETE- RA);VALLADOLID;326108;4645973;39.6;26.2;23.3;43.7;50.2;31.1;17.6;17.5;31.1;54.0;52.6;57.0
2599;Duero;TAMARIZ DE CAMPOS;VALLADOLID;332175;4649222;38.9;25.9;24.2;44.5;52.2;28.6;16.4;16.3;30.9;55.1;51.7;56.5
2603;Duero;VILLANUEVA DE SAN MANCIO;VALLADOLID;333314;4643794;35.2;23.5;23.3;43.3;45.6;28.8;15.4;19.0;29.2;51.6;47.0;51.5
2604;Duero;MEDINA DE RIOSECO;VALLADOLID;330432;4638925;34.5;23.5;21.0;40.9;47.6;28.9;18.6;18.6;29.4;51.7;45.9;52.1
2609;Duero;VILLARDEFRADES;VALLADOLID;312449;4621628;39.6;25.3;26.6;42.1;49.9;27.6;18.3;18.3;30.1;56.0;51.6;55.1
2612;Duero;PAJARES DE LA LAMPREANA;ZAMORA;275910;4621753;37.6;27.5;25.0;43.4;51.9;24.7;16.8;12.7;31.0;53.1;49.8;59.6
2614;Duero;ZAMORA;ZAMORA;271750;4599605;32.4;24.6;21.6;38.9;43.4;23.1;11.6;13.4;28.1;50.3;45.3;46.3
2619;Duero;MARAÑA;LEON;322467;4768759;167.9;131.3;140.1;150.0;127.5;69.1;42.3;47.6;86.9;179.9;205.7;185.7
2620E;Duero;ACEBEDO;LEON;327640;4767392;146.2;121.0;119.9;143.5;114.4;57.5;37.8;44.8;77.2;166.9;183.7;171.8
2621;Duero;LARIO-BURON;LEON;329450;4767346;156.6;134.7;135.5;145.1;115.7;61.1;39.4;46.8;80.2;167.6;201.9;184.5
2621E;Duero;LLANAVES DE LA REINA;LEON;353360;4768490;136.6;117.3;102.5;124.2;107.8;62.0;37.5;36.9;71.3;132.6;164.2;159.4
2623;Duero;BOCA DE HUERGANO;LEON;342858;4759617;129.1;114.4;107.4;122.4;109.7;58.0;31.9;38.3;71.9;152.7;155.4;150.4
2624I;Duero;EMBALSE DE RIAÑO;LEON;329812;4755484;130.3;105.2;105.3;114.2;110.8;54.0;35.6;39.3;71.0;159.9;154.5;154.1
2632;Duero;PUEBLA DE LILLO;LEON;314532;4764185;146.9;118.1;116.2;131.7;117.9;57.6;36.0;40.6;81.9;162.1;171.1;165.9
2633;Duero;PANTANO DEL PORMA;LEON;313895;4757410;140.3;108.7;100.0;118.7;108.0;52.8;34.4;40.5;78.0;165.2;167.3;168.0
2636;Duero;BOÑAR;LEON;310131;4748406;99.2;75.7;64.4;80.9;78.2;43.8;32.1;31.0;62.2;113.9;114.4;124.6
2645;Duero;CAMPLONGO;LEON;280609;4762872;129.9;113.9;114.5;123.3;118.0;59.6;34.9;32.7;69.2;155.8;168.2;160.4
2650A;Duero;LA ROBLA (CENTRAL TERMICA);LEON;284700;4741435;82.0;60.7;59.5;66.6;67.4;38.7;21.7;26.4;48.3;94.2;91.8;107.3
2652;Duero;LEON (ESCUELA DE CAPATACES);LEON;290456;4717483;49.8;38.8;30.5;43.2;51.2;31.4;17.5;19.9;35.6;59.9;55.6;62.5
2655;Duero;CARMENES;LEON;289791;4759187;120.9;98.8;101.7;116.8;117.5;61.8;35.3;37.4;73.7;147.9;165.5;150.8
2661;Duero;LEÓN/VIRGEN DEL CAMINO;LEON;282469;4718510;50.0;34.5;32.0;44.8;56.3;30.7;19.4;22.8;38.9;61.1;59.1;65.6
2662;Duero;PALACIOS DE FONTECHA;LEON;281346;4699854;42.3;31.8;29.2;44.5;59.4;28.9;17.3;21.7;35.5;58.2;52.1;58.1
2663;Duero;VILLAMAÑAN;LEON;287189;4688867;43.0;34.0;34.3;46.3;61.4;31.4;16.2;17.8;36.3;67.2;59.6;60.8
2665;Duero;TORAL DE LOS GUZMANES;LEON;288069;4680041;35.9;26.7;24.4;37.7;46.9;27.8;14.1;15.8;32.2;55.8;49.1;53.0
2666;Duero;VILLAFER;LEON;287430;4666475;40.1;27.0;26.2;43.8;56.1;28.4;15.6;15.6;37.9;55.9;49.4;57.0
2667O;Duero;TARANILLA;LEON;338097;4740283;98.3;71.1;63.9;75.5;83.7;46.4;33.4;31.5;60.7;112.4;109.3;119.6
2674;Duero;SAHAGUN;LEON;332872;4693030;39.2;27.7;28.9;43.3;56.4;38.5;16.4;17.1;41.1;63.3;53.1;54.7
2676;Duero;JOARILLA DE LAS MATAS;LEON;320512;4684076;38.9;28.1;23.5;42.6;54.0;30.5;16.0;14.9;32.6;58.4;48.1;53.1
2679;Duero;CASTROBOL;VALLADOLID;308837;4667715;35.0;28.5;23.9;44.7;51.3;31.9;16.0;17.3;30.2;53.6;48.3;54.8
2679E;Duero;MAYORGA (GRANJA EL MOLINO);VALLADOLID;305742;4667954;38.6;26.6;24.3;42.0;49.7;35.6;16.1;16.0;31.1;55.8;49.6;54.6
2679U;Duero;GORDONCILLO;LEON;301367;4667613;36.3;26.3;22.8;41.7;50.1;27.7;15.5;13.9;28.2;55.5;47.7;51.4
2680;Duero;VALDERAS;LEON;297861;4661539;37.3;25.5;23.4;44.3;52.0;27.1;16.3;15.8;29.9;56.9;49.6;54.0
2681;Duero;ROALES;VALLADOLID;294947;4656220;35.2;23.2;21.2;41.8;44.9;25.0;14.8;14.1;28.6;51.5;45.4;52.0
2685A;Duero;CABRILLANES (M.N.);LEON;243326;4760462;91.9;79.8;75.9;81.5;81.1;49.6;32.0;29.6;61.7;115.3;121.2;127.1
2687;Duero;ROBLEDO DE BABIA;LEON;249297;4762403;115.5;98.2;91.9;87.5;83.4;53.8;34.4;30.9;65.1;121.6;135.1;142.6
2688;Duero;HUERGAS DE BABIA;LEON;247869;4760602;115.1;95.2;89.7;89.3;84.0;55.5;34.6;30.1;65.2;127.2;135.2;146.8
2689;Duero;TORREBARRIO;LEON;255902;4766334;75.9;66.9;68.8;71.5;73.2;47.0;30.3;27.3;56.4;109.9;108.3;108.4
2692;Duero;LA MAJUA;LEON;253408;4763180;94.9;84.2;86.5;77.3;83.5;50.0;34.4;29.9;59.2;116.2;130.0;132.7
2694;Duero;VILLASECINO;LEON;253512;4759778;91.2;77.9;83.7;80.3;85.6;51.8;34.5;29.8;63.6;124.4;119.1;129.8
2697;Duero;RABANAL DE LUNA;LEON;257521;4757628;122.2;98.6;102.1;95.7;100.6;55.0;31.3;35.0;69.1;150.9;147.1;152.2
2699;Duero;ABELGAS DE LUNA;LEON;256666;4752716;111.9;98.2;117.6;98.6;119.1;73.2;39.7;43.0;77.0;161.3;157.0;151.8
2702;Duero;ARALLA DE LUNA;LEON;268293;4754012;115.9;89.9;98.2;101.0;96.6;49.5;30.4;40.2;56.5;140.4;146.3;145.9
2705;Duero;MORA DE LUNA;LEON;267418;4744931;92.7;65.9;65.2;67.1;73.2;42.9;21.3;32.9;48.4;105.1;102.9;113.4
2708E;Duero;CALLEJO DE ORDAS;LEON;267524;4734581;76.0;53.1;51.4;58.9;59.8;38.0;18.8;29.7;44.0;84.9;80.9;96.0
2712E;Duero;VEGARIENZA;LEON;250825;4741959;99.7;73.9;71.2;73.5;81.3;45.6;25.4;32.1;54.3;113.3;115.4;134.4
2716;Duero;CIMANES DEL TEJAR;LEON;270195;4722447;56.2;39.5;40.6;49.5;58.3;34.0;17.6;25.4;40.1;68.6;66.5;74.6
2717;Duero;CARRIZO DE LA RIBERA;LEON;267788;4718667;53.7;37.4;36.1;49.3;57.6;32.0;17.5;25.4;39.2;65.9;62.6;72.4
2721;Duero;VILLARES DE ORBIGO;LEON;260737;4706089;45.6;30.7;29.4;42.6;57.3;31.4;16.2;20.2;36.4;57.4;52.1;61.9
2728;Duero;VILLAMECA;LEON;247957;4725691;73.9;56.9;49.8;54.2;62.9;38.0;22.5;22.1;44.9;83.7;84.0;103.3
2729;Duero;VILLAMEJIL;LEON;251742;4716751;54.0;39.4;38.4;46.2;61.4;37.3;20.1;24.8;44.5;61.8;66.0;74.2
2730;Duero;BRAÑUELAS;LEON;237532;4725646;92.8;75.1;71.1;76.1;72.9;44.7;25.8;27.2;55.1;99.2;118.1;136.2
2736U;Duero;VAL DE SAN LORENZO;LEON;243164;4700845;45.9;34.1;33.8;42.0;52.8;33.9;14.2;17.4;34.6;56.1;52.8;65.2
2742O;Duero;BUSTILLO DEL PARAMO;LEON;270451;4702520;39.0;28.9;26.1;40.4;51.4;29.8;13.7;22.1;35.5;51.6;50.4;53.9
2744;Duero;TABUYO DEL MONTE;LEON;235121;4687923;64.9;52.6;47.1;53.8;68.0;33.6;15.1;20.4;38.6;78.6;77.4;90.5
2746O;Duero;VILLAR DE MAZARIFE;LEON;275746;4707134;38.0;27.1;24.1;40.8;50.5;25.2;17.3;24.1;32.5;50.6;51.1;53.7
2747E;Duero;LAGUNA DALGA;LEON;273141;4690234;39.2;27.8;27.7;41.8;56.2;28.3;13.6;20.3;34.6;57.9;51.0;59.3
2754;Duero;SANTA CRISTINA VIVERO;ZAMORA;275177;4653424;34.9;24.0;24.6;40.0;47.8;27.1;12.3;13.2;31.7;54.1;46.8;55.0
2763;Duero;EL FRAILE;ZAMORA;188288;4671242;161.9;134.2;127.2;126.2;124.3;61.1;28.4;37.9;90.4;213.5;206.2;245.3
2764;Duero;RIBADELAGO;ZAMORA;190169;4670077;173.9;132.8;123.2;118.8;117.0;48.4;22.9;30.2;81.9;204.3;203.8;243.2
2767;Duero;REQUEJO;ZAMORA;189844;4660045;184.9;136.1;126.0;120.1;110.6;50.2;22.4;30.5;82.3;208.7;199.4;251.9
2770B;Duero;PUEBLA DE SANABRIA (IBERDUERO);ZAMORA;199271;4662265;112.4;79.2;73.1;79.7;82.1;37.4;19.3;23.6;66.9;144.8;131.1;150.1
2772;Duero;PARAMIO DE SANABRIA;ZAMORA;203755;4664857;87.7;65.5;65.7;67.6;83.7;38.3;19.6;24.9;63.3;136.5;124.1;147.8
2773;Duero;ASTURIANOS;ZAMORA;211098;4661463;105.8;73.8;68.0;76.8;82.8;41.2;18.5;23.2;56.6;123.0;112.6;137.6
2775;Duero;VILLARDECIERVOS;ZAMORA;227299;4648617;93.7;64.8;58.3;76.6;77.5;39.5;15.8;20.5;46.0;106.9;98.8;127.5
2778;Duero;OTERO DE BODAS;ZAMORA;238803;4647876;77.5;54.5;50.1;70.1;66.4;37.0;16.4;19.8;38.9;91.7;80.7;98.5
2779;Duero;CAMARZANA DE TERA;ZAMORA;249270;4653675;50.6;35.9;27.9;44.9;54.6;29.7;14.8;15.7;28.2;53.0;49.7;63.0
2779E;Duero;SANTA CROYA DE TERA;ZAMORA;253599;4652288;47.2;32.7;28.9;42.3;49.3;27.3;13.9;15.0;26.0;59.7;51.1;62.3
2781;Duero;VILLANUEVA DE LAS PERAS;ZAMORA;252956;4647060;49.2;33.5;29.4;45.0;50.1;26.3;14.1;11.9;28.9;55.9;53.2;65.9
2783;Duero;SANTOVENIA DEL ESLA;ZAMORA;275098;4639995;43.4;29.0;27.5;45.4;48.5;28.8;12.7;13.0;30.9;58.1;56.7;62.9
2784;Duero;BRETO DE LA RIBERA;ZAMORA;272672;4639918;41.9;27.0;26.6;45.0;48.1;29.2;12.9;13.2;29.9;58.4;51.0;61.1
2785;Duero;VILLAFAFILA (LA TABLA);ZAMORA;275408;4635199;38.2;25.6;25.7;43.5;50.5;28.4;14.0;11.5;26.4;53.7;50.5;57.3
2787;Duero;GRANJA DE MORERUELA (FINCA LA GUADAÑA);ZAMORA;269105;4633085;43.2;29.8;28.4;51.4;53.8;26.8;15.0;14.6;32.6;60.1;58.6;65.9
2789E;Duero;POZUELO DE TABARA;ZAMORA;259645;4630000;48.8;33.6;31.1;51.0;54.3;24.6;13.7;13.0;34.8;63.6;58.4;72.3
2791;Duero;PERILLA DE CASTRO;ZAMORA;260693;4623326;48.3;32.9;28.7;48.5;45.8;26.0;11.3;12.8;30.4;60.0;56.3;65.0
2794;Duero;MANZANAL DEL BARCO;ZAMORA;254573;4613497;51.5;38.2;30.9;50.5;49.2;24.7;10.0;15.1;33.4;63.3;60.2;72.8
2795;Duero;MAHIDE;ZAMORA;219491;4640734;95.5;69.2;58.5;79.2;75.0;38.7;16.0;21.9;51.7;109.7;106.9;132.0
2795I;Duero;SAN VITERO DE ALISTE;ZAMORA;221636;4630609;82.3;65.2;55.3;76.3;76.1;45.2;20.8;24.7;54.7;101.1;93.6;111.6
2797;Duero;UFONES;ZAMORA;225025;4625535;82.2;58.1;52.8;68.9;67.4;35.1;17.8;21.5;47.2;91.9;94.0;108.2
2802E;Duero;FORNILLOS DE ALISTE;ZAMORA;234178;4616540;71.3;54.0;45.1;65.9;65.3;33.4;14.7;17.4;44.9;85.6;83.3;98.6
2804E;Duero;VILLADEPERA;ZAMORA;238721;4604482;57.2;44.7;38.2;57.8;52.3;30.3;12.8;18.4;42.3;74.8;71.8;82.1
2808;Duero;FARIZA DE SAYAGO;ZAMORA;226597;4590723;70.0;50.8;43.0;62.5;61.4;32.0;10.9;17.8;40.0;85.4;85.3;92.8
2813;Duero;NAVACEPEDA DE TORMES;AVILA;308892;4470347;69.2;53.2;50.1;67.9;63.2;33.8;10.0;19.2;45.0;96.3;102.1;101.0
