Ind;Cuenca;Nombre Estación;Provincia;x (Uso 30);y (Uso 30);Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
2046;Duero;ALENTISQUE;SORIA;555782;4585771;34.6;33.1;30.0;58.6;66.8;39.0;21.7;19.5;32.7;54.2;47.8;42.0
2047;Duero;TARODA;SORIA;547367;4576767;33.8;31.5;27.8;51.6;63.3;40.7;20.8;17.2;28.8;51.2;43.4;40.8
2049;Duero;COSCURITA;SORIA;543818;4587230;31.5;26.0;25.0;52.5;61.6;42.3;20.6;20.1;28.7;48.8;38.7;39.8
2050;Duero;COBERTELADA;SORIA;536514;4585802;40.6;35.0;34.9;60.8;73.6;39.0;22.3;29.7;37.9;58.8;49.3;49.1
2057;Duero;BARAHONA;SORIA;528793;4571735;34.6;28.6;28.7;55.5;71.4;42.9;18.8;20.3;33.5;56.8;53.0;44.1
2059;Duero;RIBA DE ESCALOTE;SORIA;517034;4577866;34.0;27.8;27.6;56.9;71.9;43.7;22.8;21.9;37.7;58.5;46.5;40.6
2060;Duero;RADONA;SORIA;545906;4568893;29.2;26.9;27.3;54.6;64.9;36.8;18.6;21.7;32.0;51.9;42.6;40.0
2061;Duero;YELO;SORIA;539544;4562226;30.3;27.1;27.2;46.6;59.1;36.4;14.5;15.0;28.3;48.0;38.2;39.0
2062;Duero;ROMANILLOS DE MEDINACELI;SORIA;533813;4567594;41.8;38.6;33.5;64.5;70.7;40.1;21.6;20.0;36.5;65.1;57.3;54.5
2069;Duero;BRIAS;SORIA;504017;4583090;39.7;36.7;35.3;57.4;70.7;44.1;18.4;23.4;32.5;55.8;53.9;51.5
2079;Duero;HONTORIA DEL PINAR;BURGOS;486348;4633063;68.4;56.0;48.6;73.5;81.4;44.0;26.3;28.2;37.9;83.2;83.2;94.2
2080;Duero;NAVALENO;SORIA;499608;4631816;69.2;56.3;52.0;75.9;84.0;50.4;32.7;30.7;40.8;80.8;77.6;85.9
2081;Duero;SAN LEONARDO DE YAGUE;SORIA;494418;4630893;68.0;56.8;48.8;70.5;78.5;53.1;28.2;28.9;32.2;76.9;74.3;86.3
2084;Duero;UCERO;SORIA;495679;4618402;56.7;49.5;40.3;65.0;76.3;45.1;28.8;26.4;38.8;73.0;63.0;77.8
2085;Duero;EL BURGO DE OSMA;SORIA;494281;4603908;37.7;34.5;32.4;53.0;65.0;39.3;22.1;23.0;33.7;58.6;48.8;52.9
2086;Duero;CALATAÑAZOR;SORIA;514978;4616411;58.5;49.7;40.3;62.4;70.6;45.4;26.6;31.0;41.0;73.9;70.3;78.9
2087;Duero;ABIONCILLO DE CALATAÑAZOR;SORIA;511048;4616867;50.3;44.3;36.3;57.9;66.1;40.0;26.4;28.7;39.5;65.4;60.9;67.9
2093;Duero;VALDENEBRO;SORIA;502964;4602210;37.6;34.7;30.7;57.0;67.9;40.8;20.3;21.4;33.2;53.7;49.4;53.5
2094;Duero;OSMA (LA RASA);SORIA;491032;4598360;34.5;31.3;29.8;54.5;65.0;39.3;23.2;19.1;29.9;55.3;46.4;49.3
2095;Duero;SAN ESTEBAN DE GORMAZ;SORIA;482932;4602538;32.4;30.2;28.8;54.0;72.4;38.1;23.8;22.9;30.1;56.7;46.3;48.7
2096;Duero;LICERAS;SORIA;479629;4580959;39.5;35.0;32.4;60.7;72.0;42.8;19.3;24.1;37.1;58.0;53.9;52.2
2096E;Duero;MORCUERA;SORIA;481859;4590359;33.4;29.0;25.2;50.2;68.1;37.0;17.4;22.1;33.7;53.2;44.1;44.2
2103;Duero;ESPEJA DE SAN MARCELINO;SORIA;481492;4627985;57.1;50.6;37.3;64.7;76.5;43.7;22.9;20.0;37.7;74.2;69.1;78.6
2108;Duero;SANTA MARIA DE LAS HOYAS;SORIA;488063;4624424;57.4;44.3;40.8;66.9;75.1;43.0;28.6;21.8;34.0;70.6;66.2;70.9
2108E;Duero;ALCUBILLA DE AVELLANEDA;SORIA;474654;4619370;45.2;38.9;31.1;55.2;60.7;36.3;18.0;21.7;32.5;64.4;54.3;58.8
2112;Duero;PEÑARANDA DE DUERO;BURGOS;460076;4615428;42.9;37.4;31.0;57.0;65.9;41.4;23.0;20.2;30.5;64.3;50.4;55.7
2114;Duero;HONTORIA DE VALDEARADOS (QUIN-TANILLA DE RECUERDA);BURGOS;458044;4623766;44.8;36.4;29.0;57.1;59.0;42.8;17.2;17.9;27.1;60.1;52.0;55.3
2117E;Duero;CASTRILLO DE LA VEGA;BURGOS;434933;4611602;30.6;23.9;22.3;43.7;50.3;36.6;16.0;11.4;25.8;46.7;39.9;41.1
2118;Duero;TUBILLA DEL LAGO;BURGOS;451261;4627973;43.3;35.2;27.6;54.4;56.8;36.2;20.0;17.4;27.6;58.7;57.1;57.7
2121;Duero;GUMIEL DEL MERCADO (LA VENTO- SILLA);BURGOS;431439;4618728;39.1;28.9;25.5;48.3;61.5;36.0;15.9;15.1;27.3;58.2;45.8;50.0
2125;Duero;RIAZA;SEGOVIA;459823;4569785;55.7;46.2;40.7;69.6;68.5;38.8;19.0;25.8;39.4;72.5;68.6;68.6
2126;Duero;GRADO DEL PICO;SEGOVIA;479140;4572633;49.6;41.5;41.9;74.3;84.9;48.2;20.9;27.7;43.0;70.8;71.0;68.1
2135;Duero;FRESNO DE CANTESPINO;SEGOVIA;458136;4579972;43.8;37.4;32.9;59.2;67.9;35.0;19.6;22.1;32.4;61.2;53.3;57.2
2136;Duero;CEDILLO DE LA TORRE;SEGOVIA;449468;4586195;50.9;41.4;37.9;60.5;73.2;38.3;20.1;22.7;33.4;69.1;61.3;69.2
2137;Duero;CAMPO DE SAN PEDRO;SEGOVIA;454346;4586779;37.1;30.6;28.7;52.8;62.2;34.6;18.3;18.8;30.2;55.8;47.0;51.5
2138;Duero;MADERUELO;SEGOVIA;456704;4592933;31.6;24.0;25.2;43.9;52.8;31.1;23.5;17.1;29.6;47.4;41.2;42.0
2139;Duero;LINARES DEL ARROYO;SEGOVIA;453487;4597579;34.7;27.3;30.0;55.0;61.6;34.2;18.8;18.6;32.0;54.7;45.8;48.3
